StudentID,ExamID,Status
20011111,2026S1ITCS5.100,ready
20011111,2026S1ITPF5.110,ready
20011111,2026S1ITCT5.120,ready
20011111,2026S1ITWD5.130,ready
20011111,2026S1ITUX5.210,ready
20011111,2026S1ITDT5.228,ready
20011111,2026S1ITPM5.240,ready
20011111,2026S1ITIS5.450,ready
20012222,2026S1ITCS5.100,ready
20012222,2026S1ITPF5.110,ready
20012222,2026S1ITCT5.120,ready
20012222,2026S1ITWD5.130,ready
20012222,2026S1ITUX5.210,ready
20012222,2026S1ITDT5.228,ready
20012222,2026S1ITPM5.240,ready
20012222,2026S1ITIS5.450,ready
20013333,2026S1ITCS5.100,ready
20013333,2026S1ITPF5.110,ready
20013333,2026S1ITCT5.120,ready
20013333,2026S1ITWD5.130,ready
20013333,2026S1ITUX5.210,ready
20013333,2026S1ITDT5.228,ready
20013333,2026S1ITPM5.240,ready
20013333,2026S1ITIS5.450,ready
20014444,2026S1ITCS5.100,ready
20014444,2026S1ITPF5.110,ready
20014444,2026S1ITCT5.120,ready
20014444,2026S1ITWD5.130,ready
20014444,2026S1ITUX5.210,ready
20014444,2026S1ITDT5.228,ready
20014444,2026S1ITPM5.240,ready
20014444,2026S1ITIS5.450,ready
20015555,2026S1ITCS5.100,ready
20015555,2026S1ITPF5.110,ready
20015555,2026S1ITCT5.120,ready
20015555,2026S1ITWD5.130,ready
20015555,2026S1ITUX5.210,ready
20015555,2026S1ITDT5.228,ready
20015555,2026S1ITPM5.240,ready
20015555,2026S1ITIS5.450,ready
20016666,2026S1ITCS5.100,ready
20016666,2026S1ITPF5.110,ready
20016666,2026S1ITCT5.120,ready
20016666,2026S1ITWD5.130,ready
20016666,2026S1ITUX5.210,ready
20016666,2026S1ITDT5.228,ready
20016666,2026S1ITPM5.240,ready
20016666,2026S1ITIS5.450,ready
20001111,2025S1ITCS5.100,ready
20001111,2025S1ITPF5.110,ready
20001111,2025S1ITCT5.120,ready
20001111,2025S1ITWD5.130,ready
20001111,2025S1ITUX5.210,ready
20001111,2025S1ITDT5.228,ready
20001111,2025S1ITPM5.240,ready
20001111,2025S1ITIS5.450,ready
20002222,2025S1ITCS5.100,ready
20002222,2025S1ITPF5.110,ready
20002222,2025S1ITCT5.120,ready
20002222,2025S1ITWD5.130,ready
20002222,2025S1ITUX5.210,ready
20002222,2025S1ITDT5.228,ready
20002222,2025S1ITPM5.240,ready
20002222,2025S1ITIS5.450,ready
20003333,2025S1ITCS5.100,ready
20003333,2025S1ITPF5.110,ready
20003333,2025S1ITCT5.120,ready
20003333,2025S1ITWD5.130,ready
20003333,2025S1ITUX5.210,ready
20003333,2025S1ITDT5.228,ready
20003333,2025S1ITPM5.240,ready
20003333,2025S1ITIS5.450,ready
20004444,2025S1ITCS5.100,ready
20004444,2025S1ITPF5.110,ready
20004444,2025S1ITCT5.120,ready
20004444,2025S1ITWD5.130,ready
20004444,2025S1ITUX5.210,ready
20004444,2025S1ITDT5.228,ready
20004444,2025S1ITPM5.240,ready
20004444,2025S1ITIS5.450,ready
20005555,2025S1ITCS5.100,ready
20005555,2025S1ITPF5.110,ready
20005555,2025S1ITCT5.120,ready
20005555,2025S1ITWD5.130,ready
20005555,2025S1ITUX5.210,ready
20005555,2025S1ITDT5.228,ready
20005555,2025S1ITPM5.240,ready
20005555,2025S1ITIS5.450,ready
20006666,2025S1ITCS5.100,ready
20006666,2025S1ITPF5.110,ready
20006666,2025S1ITCT5.120,ready
20006666,2025S1ITWD5.130,ready
20006666,2025S1ITUX5.210,ready
20006666,2025S1ITDT5.228,ready
20006666,2025S1ITPM5.240,ready
20006666,2025S1ITIS5.450,ready
